experiment_name,dataset,encoder,clusterer,n_docs,k_used,k_true,embedding_time,clustering_time_mean,clustering_time_std,total_time,acc_mean,acc_std,nmi_mean,nmi_std,ari_mean,ari_std,purity_mean,purity_std,silhouette_mean,silhouette_std,davies_bouldin_mean,davies_bouldin_std,collapse_mean
baseline_known_k,bbc_news,sbert,kmeans,2225,5,5,0.02505636215209961,0.21936790148417154,0.07464317921989441,0.24442426363627115,0.9685,0.0,0.8996,0.0,0.9255,0.0,0.9685,0.0,,,,,0.0
baseline_known_k,bbc_news,sbert,idec,2225,5,5,0.007845163345336914,3.2487799326578775,0.31673232663965345,3.2566250960032144,0.9479000000000001,1.1102230246251565e-16,0.8537,0.0,0.8788,0.0,0.9479000000000001,1.1102230246251565e-16,,,,,0.0
baseline_known_k,bbc_news,sbert,sdcn,2225,5,5,0.008055925369262695,0.6752195358276367,0.12400980195526144,0.6832754611968994,0.8782,0.0,0.7441,0.0,0.7252,0.0,0.8782,0.0,,,,,0.0
baseline_known_k,agnews,sbert,kmeans,127600,4,4,0.7612707614898682,15.948904991149902,0.33590226587854355,16.71017575263977,0.8418666666666667,9.428090415819597e-05,0.6053,0.0,0.6386,8.164965809280893e-05,0.8418666666666667,9.428090415819597e-05,,,,,0.0
baseline_known_k,agnews,sbert,idec,127600,4,4,0.08595085144042969,151.7456177075704,3.7568697560133084,151.83156855901083,0.8207999999999999,1.1102230246251565e-16,0.6107,0.0,0.6081,0.0,0.8207999999999999,1.1102230246251565e-16,,,,,0.0
baseline_known_k,agnews,sbert,sdcn,127600,4,4,0.7575829029083252,133.1389728387197,0.05834023548716218,133.89655574162802,0.7932333333333333,4.7140452079097985e-05,0.5816666666666667,4.7140452079097985e-05,0.5822666666666667,4.7140452079097985e-05,0.7932333333333333,4.7140452079097985e-05,,,,,0.0
baseline_known_k,20newsgroups,sbert,kmeans,18331,20,20,0.11150217056274414,7.160340627034505,0.09677821842469593,7.271842797597249,0.5864,0.0,0.5736,0.0,0.40429999999999994,5.551115123125783e-17,0.6022,0.0,,,,,0.0
baseline_known_k,20newsgroups,sbert,idec,18331,20,20,0.020381689071655273,22.54830574989319,0.45433413648740784,22.568687438964844,0.5137,0.0,0.5378,0.0,0.3653,0.0,0.5259,0.0,,,,,0.0
baseline_known_k,20newsgroups,sbert,sdcn,18331,20,20,0.10341787338256836,8.727946440378824,0.03346040800758286,8.831364313761393,0.31720000000000004,0.0021648710508172632,0.4240333333333333,0.002569478978746907,0.22653333333333334,0.006357322986568759,0.32426666666666665,0.0007586537784494127,,,,,1.0
baseline_known_k,reuters,sbert,kmeans,7674,8,8,19.034191846847534,1.0038607120513916,0.06749652374164833,20.038052558898926,0.435,0.0,0.5884,0.0,0.34369999999999995,5.551115123125783e-17,0.8621,0.0,,,,,0.0
baseline_known_k,reuters,sbert,idec,7674,8,8,0.04511880874633789,9.299691994984945,0.27481170410422623,9.344810803731283,0.61,0.0,0.6305,0.0,0.4792,0.0,0.8878,0.0,,,,,0.0
baseline_known_k,reuters,sbert,sdcn,7674,8,8,0.012974739074707031,1.8761921723683674,0.06338996920235633,1.8891669114430745,0.48666666666666664,9.428090415822213e-05,0.5568000000000001,0.00014142135623734626,0.3660333333333334,9.428090415819596e-05,0.8327,8.164965809276361e-05,,,,,0.0
baseline_known_k,dbpedia,sbert,kmeans,630000,14,14,699.3559639453888,170.79064838091531,1.3204702278247107,870.1466123263041,0.8405999999999999,1.1102230246251565e-16,0.835,0.0,0.7704,0.0,0.8668999999999999,1.1102230246251565e-16,,,,,0.0
baseline_known_k,dbpedia,sbert,idec,630000,14,14,3.3358166217803955,834.454836765925,0.7935713954250947,837.7906533877054,0.6317,0.0,0.6789999999999999,1.1102230246251565e-16,0.5424,0.0,0.6411,0.0,,,,,0.0
baseline_known_k,dbpedia,sbert,sdcn,630000,14,14,3.2935142517089844,2923.0857383410134,76.35996328764723,2926.3792525927224,0.6156333333333334,0.0014055445761538506,0.7310666666666666,0.0012918548250050695,0.5520333333333333,0.0017594190960529205,0.6239666666666667,0.0012657891697364987,,,,,0.6666666666666666
